iteracion,mejor_fitness
0,0.021064938032032222
1,0.02032155172534401
2,0.018570057726163224
3,0.015788369426243804
4,0.015788369426243804
5,0.014229015564273457
6,0.014229015564273457
7,0.014229015564273457
8,0.013668353271846451
9,0.013097002263619817
10,0.012546579147536954
11,0.012546579147536954
12,0.011755370392276168
13,0.011755370392276168
14,0.009338989951404641
15,0.009338989951404641
16,0.009338989951404641
17,0.009338989951404641
18,0.009338989951404641
19,0.009338989951404641
20,0.009338989951404641
21,0.008229974409559469
22,0.007606141835978982
23,0.007606141835978982
24,0.007606141835978982
25,0.007455949990870465
26,0.007455949990870465
27,0.007455949990870465
28,0.006945882739507798
29,0.006945882739507798
30,0.006945882739507798
31,0.006945882739507798
32,0.006945882739507798
33,0.006945882739507798
34,0.006945882739507798
35,0.006945882739507798
36,0.006945882739507798
37,0.006945882739507798
38,0.006945882739507798
39,0.006945882739507798
40,0.006612385023260641
41,0.006612385023260641
42,0.006612385023260641
43,0.006612385023260641
44,0.006612385023260641
45,0.0061843571759270105
46,0.0061843571759270105
47,0.0061843571759270105
48,0.0061843571759270105
49,0.0061843571759270105
50,0.0061843571759270105
51,0.0061843571759270105
52,0.0061843571759270105
53,0.0061843571759270105
54,0.0061843571759270105
55,0.0061843571759270105
56,0.0061843571759270105
57,0.0061843571759270105
58,0.0061843571759270105
59,0.0061843571759270105
60,0.0061843571759270105
61,0.0061843571759270105
62,0.0061843571759270105
63,0.006083189635901971
64,0.006083189635901971
65,0.006083189635901971
66,0.005847526565224276
67,0.005847526565224276
68,0.005847526565224276
69,0.005847526565224276
70,0.005847526565224276
71,0.005847526565224276
72,0.005847526565224276
73,0.005847526565224276
74,0.005847526565224276
75,0.005847526565224276
76,0.005847526565224276
77,0.005847526565224276
78,0.005847526565224276
79,0.005847526565224276
80,0.005847526565224276
81,0.005847526565224276
82,0.005791248603072568
83,0.005791248603072568
84,0.005791248603072568
85,0.005388740817411062
86,0.005388740817411062
87,0.005388740817411062
88,0.005388740817411062
89,0.005388740817411062
90,0.005388740817411062
91,0.005379878123101511
92,0.0050583922429723845
93,0.0050583922429723845
94,0.0050583922429723845
95,0.0050583922429723845
96,0.0050583922429723845
97,0.0050583922429723845
98,0.005014055962483974
99,0.004982931463826873
100,0.004982931463826873
101,0.004948653973296823
102,0.00476576452833252
103,0.00476576452833252
104,0.00476576452833252
105,0.00476576452833252
106,0.00476576452833252
107,0.00476576452833252
108,0.00476576452833252
109,0.00476576452833252
110,0.00476576452833252
111,0.00476576452833252
112,0.00476576452833252
113,0.00476576452833252
114,0.00476576452833252
115,0.00476576452833252
116,0.00471628024106873
117,0.004468375945938479
118,0.004468375945938479
119,0.004468375945938479
120,0.004468375945938479
121,0.004468375945938479
122,0.004468375945938479
123,0.004468375945938479
124,0.004468375945938479
125,0.004468375945938479
126,0.004468375945938479
127,0.004468375945938479
128,0.004468375945938479
129,0.004468375945938479
130,0.004468375945938479
131,0.004468375945938479
132,0.004468375945938479
133,0.004468375945938479
134,0.004468375945938479
135,0.004468375945938479
136,0.004468375945938479
137,0.004468375945938479
138,0.004468375945938479
139,0.004440905363351889
140,0.004440905363351889
141,0.00443564746226573
142,0.00443564746226573
143,0.00443564746226573
144,0.00443564746226573
145,0.00443564746226573
146,0.00443564746226573
147,0.00443564746226573
148,0.00443564746226573
149,0.00443564746226573
150,0.00443564746226573
151,0.00443564746226573
152,0.00443564746226573
153,0.00443564746226573
154,0.00443564746226573
155,0.00443564746226573
156,0.00443564746226573
157,0.00443564746226573
158,0.00443564746226573
159,0.00443564746226573
160,0.00443564746226573
161,0.00443564746226573
162,0.0044323030667508985
163,0.0044323030667508985
164,0.0044323030667508985
165,0.0044323030667508985
166,0.0044323030667508985
167,0.0044323030667508985
168,0.0044323030667508985
169,0.0044323030667508985
170,0.004408340839272872
171,0.004408340839272872
172,0.004408340839272872
173,0.004408340839272872
174,0.004408340839272872
175,0.004408340839272872
176,0.004408340839272872
